sample_id,source_relpath,source_filename,source_sha256,width,height,ore_class_gt,folder_label,talc_fraction_of_image,talc_pixels
DSCN3053,Фото руд по сортам. ч1/Оталькованные руды/DSCN3053.JPG,DSCN3053.JPG,c5b01c20f4104d0f4e1cb27d798fede901f639f8477843e580412e538e120a52,2272,1704,talcose,talc_ch1,0.3457,1338495
DSCN3056,Фото руд по сортам. ч1/Оталькованные руды/DSCN3056.JPG,DSCN3056.JPG,85dd7f4aff0bed1be0a6753c05a29be704b4032814bb878b375d0e7cc00611e4,2272,1704,talcose,talc_ch1,0.437,1692013
DSCN3057,Фото руд по сортам. ч1/Оталькованные руды/DSCN3057.JPG,DSCN3057.JPG,cbf96d992455ffb4b5f554eb68a0ee8dd39d7ee32b9f61b4ac0dd86543348ebf,2272,1704,talcose,talc_ch1,0.4643,1797485
DSCN3066,Фото руд по сортам. ч1/Оталькованные руды/DSCN3066.JPG,DSCN3066.JPG,2b49844653a2d222caa7ad0e072e346947ba6891ab7ca95c4d1e3199b6d0d410,2272,1704,talcose,talc_ch1,0.4353,1685241
DSCN4695,Фото руд по сортам. ч1/Оталькованные руды/DSCN4695.JPG,DSCN4695.JPG,bc1d047e6b0a66d2bc757e72d17eb90ae55860d23348007f4ae564542b0ba2c7,2272,1704,talcose,talc_ch1,0.4999,1935480
DSCN4708,Фото руд по сортам. ч1/Оталькованные руды/DSCN4708.JPG,DSCN4708.JPG,4072f0b666cae029335ebba34c1ced7c32752d28c02615220eeda5aeeb94a74b,2272,1704,talcose,talc_ch1,0.2108,816140
DSCN4714,Фото руд по сортам. ч1/Оталькованные руды/DSCN4714.JPG,DSCN4714.JPG,2dd718900e1c82b9702cb83940efae448db2325f9a016aa1617e4e913448c7e0,2272,1704,talcose,talc_ch1,0.6571,2543779
DSCN4715,Фото руд по сортам. ч1/Оталькованные руды/DSCN4715.JPG,DSCN4715.JPG,6a470ea774169de79f9139d9ece14d8bbb7d085b9864fc5d02d923f4e66683de,2272,1704,talcose,talc_ch1,0.4014,1554026
DSCN4717,Фото руд по сортам. ч1/Оталькованные руды/DSCN4717.JPG,DSCN4717.JPG,b0ba54c600d2cacf3bcdc39eb023849fc9192f2fc52301e6e223412e025694e9,2272,1704,talcose,talc_ch1,0.6855,2653988
DSCN4718,Фото руд по сортам. ч1/Оталькованные руды/DSCN4718.JPG,DSCN4718.JPG,7ed063a090f5ccfeca1cd021f19dbfd4b24d4d35172c7f1d943b686a398aa8e4,2272,1704,talcose,talc_ch1,0.7366,2851675
DSCN4719,Фото руд по сортам. ч1/Оталькованные руды/DSCN4719.JPG,DSCN4719.JPG,05d4ef6934d4d395616d8c80464885138545f4f8cfb226bc98e4f843f0b7b049,2272,1704,talcose,talc_ch1,0.6674,2583692
DSCN4720,Фото руд по сортам. ч1/Оталькованные руды/DSCN4720.JPG,DSCN4720.JPG,6b6fec182b6c2f5ebeb71c3be3e747fa8766ca55e7a0488b0cd0cd7a5ae0397b,2272,1704,talcose,talc_ch1,0.2818,1091122
DSCN4721,Фото руд по сортам. ч1/Оталькованные руды/DSCN4721.JPG,DSCN4721.JPG,e614f220feb2c037597b9f8ee27e76dda53d8515d76f08a57dbe788b6d7795a6,2272,1704,talcose,talc_ch1,0.223,863196
DSCN4727,Фото руд по сортам. ч1/Оталькованные руды/DSCN4727.JPG,DSCN4727.JPG,6798fd71f9cc0cae8668ea5fa79aaec8a46cb9212b4631946618e8867622c7df,2272,1704,talcose,talc_ch1,0.4804,1859771
DSCN4728,Фото руд по сортам. ч1/Оталькованные руды/DSCN4728.JPG,DSCN4728.JPG,9c347a28b6d79f141bac5ef9a6bee1c67a9730a9246d0d47e223876fad45f545,2272,1704,talcose,talc_ch1,0.4469,1730091
DSCN4730,Фото руд по сортам. ч1/Оталькованные руды/DSCN4730.JPG,DSCN4730.JPG,c2a65604660ad30d20ff94b518eace3eaddcd1c5153540fbfe00fe0651e5a041,2272,1704,talcose,talc_ch1,0.6327,2449369
DSCN4731,Фото руд по сортам. ч1/Оталькованные руды/DSCN4731.JPG,DSCN4731.JPG,68fc09a9bbf18bb72a606702740d0e36e2b98de55cc3aee9b10ee5c13eae0cc2,2272,1704,talcose,talc_ch1,0.4094,1585024
DSCN4732,Фото руд по сортам. ч1/Оталькованные руды/DSCN4732.JPG,DSCN4732.JPG,4b944c609aff117506517b4397c63fe371c0823ea8e9ac474ade5b9eb6901337,2272,1704,talcose,talc_ch1,0.3364,1302266
DSCN4733,Фото руд по сортам. ч1/Оталькованные руды/DSCN4733.JPG,DSCN4733.JPG,33cd3ae3c9a29524e0acee3fa1f4242251d6594de9d776c0d5de5d041edbe59c,2272,1704,talcose,talc_ch1,0.4097,1586316
DSCN4734,Фото руд по сортам. ч1/Оталькованные руды/DSCN4734.JPG,DSCN4734.JPG,e1971400c8778321e71548f67ce305a8cb454eadb080921acb0aa2b9c3954a77,2272,1704,talcose,talc_ch1,0.5027,1946269
DSCN4735,Фото руд по сортам. ч1/Оталькованные руды/DSCN4735.JPG,DSCN4735.JPG,e848d7c2997c83bdbd915be457e63ab45a870fe0381921115303d419f2cb85a0,2272,1704,talcose,talc_ch1,0.3471,1343937
DSCN4754,Фото руд по сортам. ч1/Оталькованные руды/DSCN4754.JPG,DSCN4754.JPG,5beae7e415692e3399afdacfa4de9ba9e389c3f25afb5083ab371250b5676be9,2272,1704,talcose,talc_ch1,0.6876,2661913
DSCN4755,Фото руд по сортам. ч1/Оталькованные руды/DSCN4755.JPG,DSCN4755.JPG,ccabf07e82aa79e9cf8d4f11f2817a89778a3468cf465c0231d7bfb8694d8c10,2272,1704,talcose,talc_ch1,0.5777,2236637
DSCN5032,Фото руд по сортам. ч1/Оталькованные руды/DSCN5032.JPG,DSCN5032.JPG,417cb2b32d73107eb0023d9b4d80f4f016e5e3b26a8a3c81b380d89fc8ff9e28,2272,1704,talcose,talc_ch1,0.1927,745892
DSCN5180,Фото руд по сортам. ч1/Оталькованные руды/DSCN5180.JPG,DSCN5180.JPG,acd84c230285f4d34e363da244f0d1705b37701d2d9bf1d607c08b69e847182d,2272,1704,talcose,talc_ch1,0.4157,1609453
DSCN5183,Фото руд по сортам. ч1/Оталькованные руды/DSCN5183.JPG,DSCN5183.JPG,dd690a928547176a1d3f3bb5a434f6ff2d61265caaf194eff4c4fe722bc341c6,2272,1704,talcose,talc_ch1,0.5048,1954250
DSCN5185,Фото руд по сортам. ч1/Оталькованные руды/DSCN5185.JPG,DSCN5185.JPG,f6d9d3876fcefde089b14530235b4c7343e6baaf2b29cabb6b9953069ec59c7a,2272,1704,talcose,talc_ch1,0.3523,1363928
DSCN5186,Фото руд по сортам. ч1/Оталькованные руды/DSCN5186.JPG,DSCN5186.JPG,d1d9f3579c224d94dd4798872eb8d58f8decef4cd617d767093a531ddd6a3e51,2272,1704,talcose,talc_ch1,0.4428,1714237
fine_-61,Фото руд по сортам. ч2/тонкие/-61.jpg,-61.jpg,d3dc83ca544d83b049b73b6600521a434c428306ca209123e57fac7eb949393c,4160,2768,fine,fine_ch2,0.2515,2896334
fine_109_,Фото руд по сортам. ч2/тонкие/109_.jpg,109_.jpg,8346d0899a21d7828bd6b53b1a1acecc4d544d4c499ec8a7210f20959a4de8d7,4160,2768,fine,fine_ch2,0.3415,3932008
fine_138,Фото руд по сортам. ч2/тонкие/138.JPG,138.JPG,d467f2db8442970db40af130036322f31b479126ea03d6642e289ad9f0cb37bf,2272,1704,fine,fine_ch2,0.0,0
fine_26,Фото руд по сортам. ч2/тонкие/26.jpg,26.jpg,3ea0ddd848150f45d6082652d5cdc0d12aabf25cf1e33adaacc207cbcb45ee31,2019,1263,fine,fine_ch2,0.0134,34184
fine_39,Фото руд по сортам. ч2/тонкие/39.jpg,39.jpg,02a849a9583d1739558a5631318fca075d5ea6a8f8dc69933666e2c5c2234d62,6231,3810,fine,fine_ch2,0.2275,5400814
fine_48,Фото руд по сортам. ч2/тонкие/48.jpg,48.jpg,f27136b9650c97f65bfc575c680832bfdf1c228b114c788086a8044bfdcc3296,4105,2542,fine,fine_ch2,0.5025,5243169
fine_59,Фото руд по сортам. ч2/тонкие/59.JPG,59.JPG,33af2b2be7b4fcd15c54bbee683ec27f539e9a5075ad4de7014a301b8d6288d0,2272,1704,fine,fine_ch2,0.0,0
fine_68,Фото руд по сортам. ч2/тонкие/68.JPG,68.JPG,b357ec370fa888f3023e691dfa40174700bb5817a3173e1ea8ef9a0b5d50d9d4,2272,1704,fine,fine_ch2,0.0,0
fine_73,Фото руд по сортам. ч2/тонкие/73.JPG,73.JPG,e0e80b629482f63fde7cbbfc9c54dd884560b309d8b29da6d01663ba6fe8b1a8,2272,1704,fine,fine_ch2,0.0,0
fine_75,Фото руд по сортам. ч2/тонкие/75.JPG,75.JPG,71ee7456b91c98b7af792fd0eaaf5a0eeff432e94d2da912192ac5fdf804ce4d,2272,1704,fine,fine_ch2,0.0,0
row_-31,Фото руд по сортам. ч2/рядовые/-31.jpg,-31.jpg,6c3072ddbfbc1b608fb39972a65eb3e4565fc2a410e9e41f4c9a52866ca74f05,4160,2768,row,row_ch2,0.4408,5075567
row_100,Фото руд по сортам. ч2/рядовые/100.JPG,100.JPG,93ab720d7a2bc255817803f08004a684e2d206968ff3b7c72f9b3ced8968b658,2272,1704,row,row_ch2,0.0301,116719
row_107,Фото руд по сортам. ч2/рядовые/107.JPG,107.JPG,fafa47fdf7a848286fd46f55fc6b8f799b457a78e2973a78f02325b5870c17dc,2272,1704,row,row_ch2,0.0073,28100
row_110,Фото руд по сортам. ч2/рядовые/110.JPG,110.JPG,c34ab9580000f6ae54bcea59db96deba676c2653c74b6746263575ba7ad86b8b,2272,1704,row,row_ch2,0.0109,42185
row_140,Фото руд по сортам. ч2/рядовые/140.JPG,140.JPG,3e4b52c6a44168296f6ce340285c58ed6abeb661f3c6f4d7c8ac2e2530cdba16,2272,1704,row,row_ch2,0.1584,613112
row_156,Фото руд по сортам. ч2/рядовые/156.JPG,156.JPG,0a8ced1f34a8d2f41cae3d25fd2f9ab98758eff1fbd4715696c8a755286598fa,2272,1704,row,row_ch2,0.0134,51796
row_1820343 3,Фото руд по сортам. ч2/рядовые/1820343 3.jpg,1820343 3.jpg,5c08c2d3c35e8a3c18eb4c6d06d9203007c8ff2e6f269ea76b56f0c0a8304d55,3120,1912,row,row_ch2,0.0,0
row_1822217 1,Фото руд по сортам. ч2/рядовые/1822217 1.jpg,1822217 1.jpg,e1a68b9171e705ae5b867825592c61663bc68d1125ad4b1e95d4f07fb5474971,1404,862,row,row_ch2,0.1165,140955
row_60,Фото руд по сортам. ч2/рядовые/60.jpg,60.jpg,91c7720e1fb9bba3991d71d58ecfba6cdaa5f1082f8c235ffb423ab04f6c7e02,6240,3775,row,row_ch2,0.0069,163132
row_88_,Фото руд по сортам. ч2/рядовые/88_.jpg,88_.jpg,0c6c86b597a8867464b81867572a067f22583e734601cbd243d19b8d1d29d10f,4160,2768,row,row_ch2,0.0,0
t2m_-13,Фото руд по сортам. ч2/оталькованные/-13.jpg,-13.jpg,f86c0939f3911137f06f3e897682b53f0edfd201b251da7774cf2520a3f90812,4160,2768,talcose,talcose_ch2,0.6596,7595416
t2m_-20,Фото руд по сортам. ч2/оталькованные/-20.jpg,-20.jpg,13523b94b14e2f3bee0da3b92a7ac1d170765f11eb2b33f683b63623c9bdc99a,4160,2768,talcose,talcose_ch2,0.6681,7693575
t2m_-24,Фото руд по сортам. ч2/оталькованные/-24.jpg,-24.jpg,c8558f1c931cfea80a77589b2858976b9d21853cf9b9ae5a970cfb01f8c3d191,4160,2768,talcose,talcose_ch2,0.7117,8195384
t2m_-33,Фото руд по сортам. ч2/оталькованные/-33.jpg,-33.jpg,b493d5bc7256e26ddcbfb5430918996f7b25f343cdb4f8642c2e7462e3e91553,4160,2768,talcose,talcose_ch2,0.3825,4404291
t2m_-34,Фото руд по сортам. ч2/оталькованные/-34.jpg,-34.jpg,236b11c1877844d0627e98da2e2236bde685f4f2f6cb1491cdea0ccc47f14624,4160,2768,talcose,talcose_ch2,0.334,3845740
t2m_-36,Фото руд по сортам. ч2/оталькованные/-36.jpg,-36.jpg,7b301b80a9928731165ba8fb319b04309bc04557fdc8ef54d22b78cf8f49f041,4160,2768,talcose,talcose_ch2,0.7179,8266683
t2m_-44,Фото руд по сортам. ч2/оталькованные/-44.jpg,-44.jpg,32b907a865133e55623c7d5c7bbfa8d137b9b59f9c3b305bb1a959d1e7797de7,4160,2768,talcose,talcose_ch2,0.893,10282495
t2m_-45,Фото руд по сортам. ч2/оталькованные/-45.jpg,-45.jpg,f794c063b58ca075a3dc726fe4a7064535b0533874eff51f31b89b654865cb32,4160,2768,talcose,talcose_ch2,0.7646,8804642
t2m_-46,Фото руд по сортам. ч2/оталькованные/-46.jpg,-46.jpg,cc0883d9f4a72d7adf41acbd9492891c0380754b33a7c80ab0cf5d61bd674fdd,4160,2768,talcose,talcose_ch2,0.6329,7287514
t2m_-8,Фото руд по сортам. ч2/оталькованные/-8.jpg,-8.jpg,f0054fc4082a9800f01c90905c43a3687112302db5e5e00d5a11226deed7ae0c,4160,2768,talcose,talcose_ch2,0.6414,7385701
t2n_155_,Фото руд по сортам. ч2/оталькованные/155_.jpg,155_.jpg,138eaae7ebd8c70eda3b1cacf832e6917bd80757b87ee71517d62026916a4bff,4160,2768,talcose,talcose_ch2,0.6962,8016323
t2n_156_,Фото руд по сортам. ч2/оталькованные/156_.jpg,156_.jpg,5c7fb6fd234c5c4ec08762c55721f736f0645936869de61e890cc657434fb6f1,4160,2768,talcose,talcose_ch2,0.5023,5783557
t2n_157_,Фото руд по сортам. ч2/оталькованные/157_.jpg,157_.jpg,94f2d65829265ba3f3e59845688ffb15cf69da52d1199bb0ee6b5c24cbb2f7f1,4160,2768,talcose,talcose_ch2,0.7224,8317997
t2n_158_,Фото руд по сортам. ч2/оталькованные/158_.jpg,158_.jpg,5e6aca230e69cab91ebcf1b3196af54d8c85bd481f65d018f2e54af8577b902d,4160,2768,talcose,talcose_ch2,0.4976,5729746
t2n_159_,Фото руд по сортам. ч2/оталькованные/159_.jpg,159_.jpg,88d6b6aca138bab1fc411b2d00db9e4b86c0db7477d63028905f559292f72231,4160,2768,talcose,talcose_ch2,0.864,9948769
t2n_160_,Фото руд по сортам. ч2/оталькованные/160_.jpg,160_.jpg,3d13a8fbeb5cb0f1350426ab1649086ba1ec6cd863916fb351d8a6e89ddef3d0,4160,2768,talcose,talcose_ch2,0.8802,10135051
t2n_161_,Фото руд по сортам. ч2/оталькованные/161_.jpg,161_.jpg,37fe64b8e209b54d4559bca905e8fdd5eeb694e7814fe772f8ba0703b26def97,4160,2768,talcose,talcose_ch2,0.9261,10664260
t2n_162_,Фото руд по сортам. ч2/оталькованные/162_.jpg,162_.jpg,4149fc2bbc24bb0088f7b0197e97d1a383d749f8966d02011c6f7146630edaaa,4160,2768,talcose,talcose_ch2,0.8073,9296361
t2n_164_,Фото руд по сортам. ч2/оталькованные/164_.jpg,164_.jpg,5cf866336d5d88eca9bbfd729279dd6de26ec5115fec96b3e18ee199be9e22cd,4160,2768,talcose,talcose_ch2,0.7682,8845637
t2n_165_,Фото руд по сортам. ч2/оталькованные/165_.jpg,165_.jpg,2329235edda73e1a4a06f5a21281200b1ae50aae85f3ec998bc3802897194f89,4160,2768,talcose,talcose_ch2,0.9598,11051496
